accession,status,filename,note
OQ446485.1,success,phage_genomes/OQ446485.1.fasta,42331 bp
OQ435241.1,success,phage_genomes/OQ435241.1.fasta,44389 bp
PP179329.1,success,phage_genomes/PP179329.1.fasta,45336 bp
PP179328.1,success,phage_genomes/PP179328.1.fasta,45363 bp
PP179327.1,success,phage_genomes/PP179327.1.fasta,44995 bp
PP179325.1,success,phage_genomes/PP179325.1.fasta,91577 bp
PP179318.1,success,phage_genomes/PP179318.1.fasta,112436 bp
PP756300.1,success,phage_genomes/PP756300.1.fasta,63787 bp
PP566124.1,success,phage_genomes/PP566124.1.fasta,40246 bp
OQ603356.1,success,phage_genomes/OQ603356.1.fasta,64119 bp
OQ603355.1,success,phage_genomes/OQ603355.1.fasta,42944 bp
OQ603354.1,success,phage_genomes/OQ603354.1.fasta,44425 bp
OQ603353.1,success,phage_genomes/OQ603353.1.fasta,227420 bp
OQ603352.1,success,phage_genomes/OQ603352.1.fasta,40665 bp
OQ603351.1,success,phage_genomes/OQ603351.1.fasta,98129 bp
OQ603350.1,success,phage_genomes/OQ603350.1.fasta,40570 bp
OQ603349.1,success,phage_genomes/OQ603349.1.fasta,41236 bp
PP079418.1,success,phage_genomes/PP079418.1.fasta,46423 bp
PP079417.1,success,phage_genomes/PP079417.1.fasta,43747 bp
PP079416.1,success,phage_genomes/PP079416.1.fasta,43103 bp
PP079415.1,success,phage_genomes/PP079415.1.fasta,44323 bp
PP079414.1,success,phage_genomes/PP079414.1.fasta,43093 bp
PP079413.1,success,phage_genomes/PP079413.1.fasta,43983 bp
PP313117.1,success,phage_genomes/PP313117.1.fasta,48985 bp
OR842880.1,success,phage_genomes/OR842880.1.fasta,45142 bp
OR997970.1,success,phage_genomes/OR997970.1.fasta,40850 bp
OR997969.1,success,phage_genomes/OR997969.1.fasta,46051 bp
OR820514.1,success,phage_genomes/OR820514.1.fasta,55576 bp
OQ055246.1,success,phage_genomes/OQ055246.1.fasta,98812 bp
OR966858.1,success,phage_genomes/OR966858.1.fasta,43329 bp
OR122686.1,success,phage_genomes/OR122686.1.fasta,41337 bp
OP548052.1,success,phage_genomes/OP548052.1.fasta,44424 bp
OQ756160.1,success,phage_genomes/OQ756160.1.fasta,61032 bp
OR500351.1,success,phage_genomes/OR500351.1.fasta,44044 bp
OR258281.1,success,phage_genomes/OR258281.1.fasta,348967 bp
OQ790161.1,success,phage_genomes/OQ790161.1.fasta,312199 bp
OQ676962.1,success,phage_genomes/OQ676962.1.fasta,45241 bp
OQ622092.1,success,phage_genomes/OQ622092.1.fasta,43262 bp
NC_073205.1,success,phage_genomes/NC_073205.1.fasta,42600 bp
NC_073095.1,success,phage_genomes/NC_073095.1.fasta,43791 bp
NC_073094.1,success,phage_genomes/NC_073094.1.fasta,44768 bp
NC_073093.1,success,phage_genomes/NC_073093.1.fasta,44239 bp
NC_073036.1,success,phage_genomes/NC_073036.1.fasta,64024 bp
NC_073035.1,success,phage_genomes/NC_073035.1.fasta,62951 bp
NC_073033.1,success,phage_genomes/NC_073033.1.fasta,63783 bp
NC_073032.1,success,phage_genomes/NC_073032.1.fasta,64088 bp
NC_073030.1,success,phage_genomes/NC_073030.1.fasta,59242 bp
NC_073029.1,success,phage_genomes/NC_073029.1.fasta,62341 bp
NC_073026.1,success,phage_genomes/NC_073026.1.fasta,56408 bp
OQ436456.1,success,phage_genomes/OQ436456.1.fasta,106569 bp
NC_072499.1,success,phage_genomes/NC_072499.1.fasta,58107 bp
OQ427096.1,success,phage_genomes/OQ427096.1.fasta,200058 bp
ON960072.2,success,phage_genomes/ON960072.2.fasta,43713 bp
NC_069745.1,success,phage_genomes/NC_069745.1.fasta,43553 bp
NC_069744.1,success,phage_genomes/NC_069744.1.fasta,43314 bp
ON189046.1,success,phage_genomes/ON189046.1.fasta,40498 bp
MW435566.1,success,phage_genomes/MW435566.1.fasta,45966 bp
OP948730.1,success,phage_genomes/OP948730.1.fasta,44497 bp
NC_055839.1,success,phage_genomes/NC_055839.1.fasta,60418 bp
NC_055838.1,success,phage_genomes/NC_055838.1.fasta,43872 bp
NC_055837.1,success,phage_genomes/NC_055837.1.fasta,44153 bp
NC_055836.1,success,phage_genomes/NC_055836.1.fasta,44086 bp
NC_055835.1,success,phage_genomes/NC_055835.1.fasta,44763 bp
NC_054461.1,success,phage_genomes/NC_054461.1.fasta,47407 bp
NC_048147.1,success,phage_genomes/NC_048147.1.fasta,61830 bp
NC_027989.1,success,phage_genomes/NC_027989.1.fasta,53237 bp
NC_019933.2,success,phage_genomes/NC_019933.2.fasta,43870 bp
NC_015464.1,success,phage_genomes/NC_015464.1.fasta,135041 bp
NC_009543.1,success,phage_genomes/NC_009543.1.fasta,44520 bp
NC_007709.1,success,phage_genomes/NC_007709.1.fasta,43785 bp
NC_004902.1,success,phage_genomes/NC_004902.1.fasta,44373 bp
NC_069155.1,success,phage_genomes/NC_069155.1.fasta,39799 bp
NC_054459.1,success,phage_genomes/NC_054459.1.fasta,46503 bp
NC_054458.1,success,phage_genomes/NC_054458.1.fasta,46195 bp
NC_048751.1,success,phage_genomes/NC_048751.1.fasta,74710 bp
NC_048703.1,success,phage_genomes/NC_048703.1.fasta,76335 bp
NC_048137.1,success,phage_genomes/NC_048137.1.fasta,51170 bp
NC_047962.1,success,phage_genomes/NC_047962.1.fasta,61939 bp
NC_047840.1,success,phage_genomes/NC_047840.1.fasta,44597 bp
NC_054460.1,success,phage_genomes/NC_054460.1.fasta,46077 bp
NC_052966.1,success,phage_genomes/NC_052966.1.fasta,60497 bp
NC_047762.1,success,phage_genomes/NC_047762.1.fasta,44862 bp
NC_030937.1,success,phage_genomes/NC_030937.1.fasta,44262 bp
NC_030928.1,success,phage_genomes/NC_030928.1.fasta,43851 bp
NC_042345.1,success,phage_genomes/NC_042345.1.fasta,55601 bp
NC_042344.1,success,phage_genomes/NC_042344.1.fasta,56147 bp
NC_031280.1,success,phage_genomes/NC_031280.1.fasta,104906 bp
NC_029075.1,success,phage_genomes/NC_029075.1.fasta,81541 bp
NC_024793.1,success,phage_genomes/NC_024793.1.fasta,46847 bp
NC_024789.1,success,phage_genomes/NC_024789.1.fasta,45746 bp
NC_024784.1,success,phage_genomes/NC_024784.1.fasta,46440 bp
NC_023569.1,success,phage_genomes/NC_023569.1.fasta,77837 bp
NC_023556.1,success,phage_genomes/NC_023556.1.fasta,72329 bp
NC_009232.2,success,phage_genomes/NC_009232.2.fasta,42572 bp
NC_022987.1,success,phage_genomes/NC_022987.1.fasta,43940 bp
NC_022982.1,success,phage_genomes/NC_022982.1.fasta,43869 bp
NC_021777.1,success,phage_genomes/NC_021777.1.fasta,43447 bp
NC_021532.1,success,phage_genomes/NC_021532.1.fasta,103910 bp
NC_020205.1,success,phage_genomes/NC_020205.1.fasta,42963 bp
NC_020201.1,success,phage_genomes/NC_020201.1.fasta,142349 bp
NC_019520.1,success,phage_genomes/NC_019520.1.fasta,42608 bp
NC_019401.1,success,phage_genomes/NC_019401.1.fasta,358663 bp
NC_017981.1,success,phage_genomes/NC_017981.1.fasta,49981 bp
NC_016071.1,success,phage_genomes/NC_016071.1.fasta,145964 bp
NC_014663.1,success,phage_genomes/NC_014663.1.fasta,169947 bp
NC_013693.1,success,phage_genomes/NC_013693.1.fasta,158006 bp
NC_013697.1,success,phage_genomes/NC_013697.1.fasta,157486 bp
NC_012742.1,success,phage_genomes/NC_012742.1.fasta,44080 bp
NC_011811.1,success,phage_genomes/NC_011811.1.fasta,84576 bp
NC_007710.1,success,phage_genomes/NC_007710.1.fasta,46643 bp
NC_007024.1,success,phage_genomes/NC_007024.1.fasta,55770 bp
NC_005857.1,success,phage_genomes/NC_005857.1.fasta,51601 bp
OP583595.1,success,phage_genomes/OP583595.1.fasta,45224 bp
OP583594.1,success,phage_genomes/OP583594.1.fasta,44329 bp
OP583593.1,success,phage_genomes/OP583593.1.fasta,42522 bp
OP583592.1,success,phage_genomes/OP583592.1.fasta,45223 bp
OP583591.1,success,phage_genomes/OP583591.1.fasta,44616 bp
AB720063.2,success,phage_genomes/AB720063.2.fasta,43870 bp
AP008979.1,success,phage_genomes/AP008979.1.fasta,43785 bp
ON911540.2,success,phage_genomes/ON911540.2.fasta,58107 bp
ON911539.2,success,phage_genomes/ON911539.2.fasta,42857 bp
ON911538.2,success,phage_genomes/ON911538.2.fasta,43553 bp
OP292654.1,success,phage_genomes/OP292654.1.fasta,367901 bp
ON932085.1,success,phage_genomes/ON932085.1.fasta,43025 bp
ON932084.1,success,phage_genomes/ON932084.1.fasta,64024 bp
ON932083.1,success,phage_genomes/ON932083.1.fasta,43240 bp
ON932082.1,success,phage_genomes/ON932082.1.fasta,43697 bp
ON932081.1,success,phage_genomes/ON932081.1.fasta,42881 bp
ON932080.1,success,phage_genomes/ON932080.1.fasta,62951 bp
ON932079.1,success,phage_genomes/ON932079.1.fasta,56408 bp
ON932078.1,success,phage_genomes/ON932078.1.fasta,43007 bp
ON996340.1,success,phage_genomes/ON996340.1.fasta,46280 bp
OP067662.1,success,phage_genomes/OP067662.1.fasta,46052 bp
ON711490.1,success,phage_genomes/ON711490.1.fasta,44623 bp
ON758385.1,success,phage_genomes/ON758385.1.fasta,199233 bp
ON189047.1,success,phage_genomes/ON189047.1.fasta,59242 bp
ON189048.1,success,phage_genomes/ON189048.1.fasta,55527 bp
ON189045.1,success,phage_genomes/ON189045.1.fasta,62341 bp
ON189044.1,success,phage_genomes/ON189044.1.fasta,43791 bp
ON189043.1,success,phage_genomes/ON189043.1.fasta,44768 bp
ON189042.1,success,phage_genomes/ON189042.1.fasta,44239 bp
MW825358.1,success,phage_genomes/MW825358.1.fasta,305651 bp
HM246720.1,success,phage_genomes/HM246720.1.fasta,53237 bp
MZ326867.1,success,phage_genomes/MZ326867.1.fasta,45678 bp
DQ777876.1,success,phage_genomes/DQ777876.1.fasta,44520 bp
AY299121.1,success,phage_genomes/AY299121.1.fasta,44373 bp
OK275495.1,success,phage_genomes/OK275495.1.fasta,45281 bp
OK275494.1,success,phage_genomes/OK275494.1.fasta,47500 bp
OK275493.1,success,phage_genomes/OK275493.1.fasta,63593 bp
OK275492.1,success,phage_genomes/OK275492.1.fasta,64088 bp
OK258140.1,success,phage_genomes/OK258140.1.fasta,45054 bp
OK258138.1,success,phage_genomes/OK258138.1.fasta,44322 bp
OL436139.1,success,phage_genomes/OL436139.1.fasta,42600 bp
MZ345003.1,success,phage_genomes/MZ345003.1.fasta,42891 bp
OK624832.1,success,phage_genomes/OK624832.1.fasta,64732 bp
OK913680.1,success,phage_genomes/OK913680.1.fasta,43010 bp
OK913679.1,success,phage_genomes/OK913679.1.fasta,42912 bp
GU296433.1,success,phage_genomes/GU296433.1.fasta,135041 bp
MN364664.1,success,phage_genomes/MN364664.1.fasta,157091 bp
MZ666966.1,success,phage_genomes/MZ666966.1.fasta,41152 bp
MZ666965.1,success,phage_genomes/MZ666965.1.fasta,38454 bp
MW822539.1,success,phage_genomes/MW822539.1.fasta,43818 bp
MW822538.1,success,phage_genomes/MW822538.1.fasta,43824 bp
MW822537.1,success,phage_genomes/MW822537.1.fasta,43741 bp
MW822536.1,success,phage_genomes/MW822536.1.fasta,43741 bp
MW822535.1,success,phage_genomes/MW822535.1.fasta,43782 bp
MW802488.1,success,phage_genomes/MW802488.1.fasta,43722 bp
MT951568.1,success,phage_genomes/MT951568.1.fasta,42825 bp
MT161385.1,success,phage_genomes/MT161385.1.fasta,60418 bp
MT161387.1,success,phage_genomes/MT161387.1.fasta,61010 bp
MT161386.1,success,phage_genomes/MT161386.1.fasta,61077 bp
MT161384.1,success,phage_genomes/MT161384.1.fasta,43872 bp
MT161383.1,success,phage_genomes/MT161383.1.fasta,44153 bp
MT161382.1,success,phage_genomes/MT161382.1.fasta,44086 bp
MT161381.1,success,phage_genomes/MT161381.1.fasta,44763 bp
MT653137.1,success,phage_genomes/MT653137.1.fasta,42781 bp
MW082583.1,success,phage_genomes/MW082583.1.fasta,39799 bp
MH191395.1,success,phage_genomes/MH191395.1.fasta,61830 bp
MT708549.1,success,phage_genomes/MT708549.1.fasta,68393 bp
MN304816.1,success,phage_genomes/MN304816.1.fasta,47505 bp
MT740307.1,success,phage_genomes/MT740307.1.fasta,98780 bp
MT939492.1,success,phage_genomes/MT939492.1.fasta,232104 bp
MT664984.1,success,phage_genomes/MT664984.1.fasta,63783 bp
MN047793.1,success,phage_genomes/MN047793.1.fasta,309023 bp
MK903278.1,success,phage_genomes/MK903278.1.fasta,44448 bp
MN062187.1,success,phage_genomes/MN062187.1.fasta,43314 bp
MT119766.1,success,phage_genomes/MT119766.1.fasta,39980 bp
MN461279.1,success,phage_genomes/MN461279.1.fasta,47407 bp
MG983743.2,success,phage_genomes/MG983743.2.fasta,76335 bp
MG944235.1,success,phage_genomes/MG944235.1.fasta,45969 bp
MG944232.1,success,phage_genomes/MG944232.1.fasta,46278 bp
MG944230.1,success,phage_genomes/MG944230.1.fasta,47397 bp
MG944227.1,success,phage_genomes/MG944227.1.fasta,46195 bp
GQ357915.1,success,phage_genomes/GQ357915.1.fasta,157486 bp
MG944236.1,success,phage_genomes/MG944236.1.fasta,47046 bp
MG944234.1,success,phage_genomes/MG944234.1.fasta,46503 bp
MG944233.1,success,phage_genomes/MG944233.1.fasta,48669 bp
MG944231.1,success,phage_genomes/MG944231.1.fasta,46281 bp
MG944229.1,success,phage_genomes/MG944229.1.fasta,49612 bp
MG944228.1,success,phage_genomes/MG944228.1.fasta,46480 bp
MK388689.1,success,phage_genomes/MK388689.1.fasta,74710 bp
MK095606.1,success,phage_genomes/MK095606.1.fasta,51170 bp
MK095605.1,success,phage_genomes/MK095605.1.fasta,46103 bp
KY210139.1,success,phage_genomes/KY210139.1.fasta,46077 bp
MH517022.1,success,phage_genomes/MH517022.1.fasta,143204 bp
MH059633.1,success,phage_genomes/MH059633.1.fasta,61939 bp
AP018399.1,success,phage_genomes/AP018399.1.fasta,384670 bp
MF375456.1,success,phage_genomes/MF375456.1.fasta,44597 bp
KX241618.1,success,phage_genomes/KX241618.1.fasta,60497 bp
KU197014.1,success,phage_genomes/KU197014.1.fasta,49241 bp
KU197013.1,success,phage_genomes/KU197013.1.fasta,44862 bp
KU595433.1,success,phage_genomes/KU595433.1.fasta,44262 bp
KU595432.1,success,phage_genomes/KU595432.1.fasta,43851 bp
KF626667.1,success,phage_genomes/KF626667.1.fasta,43940 bp
KF626666.1,success,phage_genomes/KF626666.1.fasta,43869 bp
JQ015307.1,success,phage_genomes/JQ015307.1.fasta,142349 bp
KJ628499.1,success,phage_genomes/KJ628499.1.fasta,104906 bp
AE017220.1,success,phage_genomes/AE017220.1.fasta,4755700 bp
KP202971.1,success,phage_genomes/KP202971.1.fasta,81541 bp
KF623293.1,success,phage_genomes/KF623293.1.fasta,77837 bp
KF771239.1,success,phage_genomes/KF771239.1.fasta,45746 bp
KF771238.1,success,phage_genomes/KF771238.1.fasta,46440 bp
KF771237.1,success,phage_genomes/KF771237.1.fasta,46847 bp
KF771236.1,success,phage_genomes/KF771236.1.fasta,46719 bp
JN882285.1,success,phage_genomes/JN882285.1.fasta,358663 bp
KF626668.1,success,phage_genomes/KF626668.1.fasta,55601 bp
KF626665.1,success,phage_genomes/KF626665.1.fasta,56147 bp
KF787095.1,success,phage_genomes/KF787095.1.fasta,72329 bp
KF787094.1,success,phage_genomes/KF787094.1.fasta,73659 bp
AB720064.1,success,phage_genomes/AB720064.1.fasta,42963 bp
EF177456.2,success,phage_genomes/EF177456.2.fasta,42572 bp
KF148055.1,success,phage_genomes/KF148055.1.fasta,43447 bp
KF005320.1,success,phage_genomes/KF005320.1.fasta,104036 bp
KF005319.1,success,phage_genomes/KF005319.1.fasta,100619 bp
KF005318.1,success,phage_genomes/KF005318.1.fasta,101724 bp
KF005317.1,success,phage_genomes/KF005317.1.fasta,103910 bp
JN022534.1,success,phage_genomes/JN022534.1.fasta,49981 bp
JN882298.1,success,phage_genomes/JN882298.1.fasta,42608 bp
GU070616.1,success,phage_genomes/GU070616.1.fasta,145964 bp
FJ373894.1,success,phage_genomes/FJ373894.1.fasta,158006 bp
HM004124.1,success,phage_genomes/HM004124.1.fasta,169947 bp
EU717894.1,success,phage_genomes/EU717894.1.fasta,44080 bp
AY986977.1,success,phage_genomes/AY986977.1.fasta,55770 bp
AY374448.1,success,phage_genomes/AY374448.1.fasta,51601 bp
EU710883.1,success,phage_genomes/EU710883.1.fasta,84576 bp
AP008986.1,success,phage_genomes/AP008986.1.fasta,46643 bp
PV156121.1,success,phage_genomes/PV156121.1.fasta,63966 bp
PZ099256.1,success,phage_genomes/PZ099256.1.fasta,62358 bp
PX963132.1,success,phage_genomes/PX963132.1.fasta,43287 bp
PX963130.1,success,phage_genomes/PX963130.1.fasta,62943 bp
PX963129.1,success,phage_genomes/PX963129.1.fasta,42740 bp
PX963128.1,success,phage_genomes/PX963128.1.fasta,108403 bp
PX963126.1,success,phage_genomes/PX963126.1.fasta,43064 bp
PX021331.1,success,phage_genomes/PX021331.1.fasta,62144 bp
PX872916.1,success,phage_genomes/PX872916.1.fasta,43145 bp
PX828564.1,success,phage_genomes/PX828564.1.fasta,56328 bp
PX828563.1,success,phage_genomes/PX828563.1.fasta,74828 bp
PX828562.1,success,phage_genomes/PX828562.1.fasta,74702 bp
PX828561.1,success,phage_genomes/PX828561.1.fasta,74828 bp
PX789330.1,success,phage_genomes/PX789330.1.fasta,44718 bp
PX725649.1,success,phage_genomes/PX725649.1.fasta,43111 bp
PX680748.1,success,phage_genomes/PX680748.1.fasta,75874 bp
PX680747.1,success,phage_genomes/PX680747.1.fasta,42418 bp
PX505723.1,success,phage_genomes/PX505723.1.fasta,157565 bp
PV714881.1,success,phage_genomes/PV714881.1.fasta,42920 bp
PV130726.1,success,phage_genomes/PV130726.1.fasta,62174 bp
PV130725.1,success,phage_genomes/PV130725.1.fasta,61843 bp
PV130724.1,success,phage_genomes/PV130724.1.fasta,159577 bp
PV130723.1,success,phage_genomes/PV130723.1.fasta,161129 bp
PQ358089.1,success,phage_genomes/PQ358089.1.fasta,25800 bp
PV224507.1,success,phage_genomes/PV224507.1.fasta,43055 bp
PQ498462.1,success,phage_genomes/PQ498462.1.fasta,49832 bp
PQ498461.1,success,phage_genomes/PQ498461.1.fasta,49832 bp
PQ498460.1,success,phage_genomes/PQ498460.1.fasta,42992 bp
PQ498459.1,success,phage_genomes/PQ498459.1.fasta,49832 bp
PQ498458.1,success,phage_genomes/PQ498458.1.fasta,49832 bp
PQ498457.1,success,phage_genomes/PQ498457.1.fasta,43112 bp
PQ498456.1,success,phage_genomes/PQ498456.1.fasta,43078 bp
PQ498455.1,success,phage_genomes/PQ498455.1.fasta,43071 bp
PQ498454.1,success,phage_genomes/PQ498454.1.fasta,43069 bp
PQ492162.1,success,phage_genomes/PQ492162.1.fasta,43073 bp
PQ492161.1,success,phage_genomes/PQ492161.1.fasta,42986 bp
PQ492160.1,success,phage_genomes/PQ492160.1.fasta,42994 bp
PQ492159.1,success,phage_genomes/PQ492159.1.fasta,42616 bp
PQ492158.1,success,phage_genomes/PQ492158.1.fasta,42616 bp
PQ492157.1,success,phage_genomes/PQ492157.1.fasta,49832 bp
PQ434693.1,success,phage_genomes/PQ434693.1.fasta,42758 bp
PQ434692.1,success,phage_genomes/PQ434692.1.fasta,108444 bp
PQ074228.1,success,phage_genomes/PQ074228.1.fasta,49832 bp
PP921744.1,success,phage_genomes/PP921744.1.fasta,43500 bp
PQ111865.1,success,phage_genomes/PQ111865.1.fasta,57752 bp
PP921743.1,success,phage_genomes/PP921743.1.fasta,44908 bp
PP932004.1,success,phage_genomes/PP932004.1.fasta,43085 bp
PP179326.1,success,phage_genomes/PP179326.1.fasta,46001 bp
PP747256.1,success,phage_genomes/PP747256.1.fasta,61398 bp
PP550502.1,success,phage_genomes/PP550502.1.fasta,61670 bp
PP554396.1,success,phage_genomes/PP554396.1.fasta,43504 bp
OP752703.1,success,phage_genomes/OP752703.1.fasta,319635 bp
OR729839.1,success,phage_genomes/OR729839.1.fasta,42956 bp
OR797046.1,success,phage_genomes/OR797046.1.fasta,40472 bp
OR797045.1,success,phage_genomes/OR797045.1.fasta,56562 bp
OR797044.1,success,phage_genomes/OR797044.1.fasta,64715 bp
OR797043.1,success,phage_genomes/OR797043.1.fasta,43183 bp
OR797042.1,success,phage_genomes/OR797042.1.fasta,66040 bp
OR797041.1,success,phage_genomes/OR797041.1.fasta,41867 bp
OR797040.1,success,phage_genomes/OR797040.1.fasta,159540 bp
MF988720.1,success,phage_genomes/MF988720.1.fasta,142204 bp
MZ611865.1,success,phage_genomes/MZ611865.1.fasta,44514 bp
OR838459.1,success,phage_genomes/OR838459.1.fasta,66322 bp
OR529409.1,success,phage_genomes/OR529409.1.fasta,252190 bp
OR529408.1,success,phage_genomes/OR529408.1.fasta,109117 bp
OR209256.1,success,phage_genomes/OR209256.1.fasta,43170 bp
MK580972.1,success,phage_genomes/MK580972.1.fasta,159862 bp
NC_013420.1,success,phage_genomes/NC_013420.1.fasta,90435 bp
NC_070951.1,success,phage_genomes/NC_070951.1.fasta,161350 bp
NC_073034.1,success,phage_genomes/NC_073034.1.fasta,63962 bp
PP895211.1,success,phage_genomes/PP895211.1.fasta,14913 bp
PP895210.1,success,phage_genomes/PP895210.1.fasta,14814 bp
PP895209.1,success,phage_genomes/PP895209.1.fasta,14900 bp
PP895208.1,success,phage_genomes/PP895208.1.fasta,14927 bp
PQ821741.1,success,phage_genomes/PQ821741.1.fasta,40867 bp
PX753199.1,success,phage_genomes/PX753199.1.fasta,44443 bp
PX753198.1,success,phage_genomes/PX753198.1.fasta,44199 bp
PX753197.1,success,phage_genomes/PX753197.1.fasta,44200 bp
PP816325.1,success,phage_genomes/PP816325.1.fasta,63695 bp
OQ818705.1,success,phage_genomes/OQ818705.1.fasta,74269 bp
NC_049463.1,success,phage_genomes/NC_049463.1.fasta,76239 bp
